date,annualized_returns,cash,daily_pnl,daily_returns,dividend_receivable,frozen_cash,market_value,pnl,portfolio_value,total_returns,transaction_cost,unit_net_value,units,yesterday_unit_net_value,yesterday_units
2016-03-01,-0.177,33447.801,-53.199,-0.001,0.0,0.0,66499.0,-53.199,99946.801,-0.001,53.199,0.999,100000,1.0,100000
2016-03-02,311.504,33447.801,3251.0,0.033,0.0,0.0,69750.0,3197.801,103197.801,0.032,53.199,1.032,100000,0.999,100000
2016-03-03,58.811,33447.801,222.0,0.002,0.0,0.0,69972.0,3419.801,103419.801,0.034,53.199,1.034,100000,1.032,100000
2016-03-04,194.159,33447.801,2530.0,0.024,0.0,0.0,72502.0,5949.801,105949.801,0.059,53.199,1.059,100000,1.034,100000
2016-03-07,20.002,33447.801,63.0,0.001,0.0,0.0,72565.0,6012.801,106012.801,0.06,53.199,1.06,100000,1.059,100000
2016-03-08,21.92,33447.801,1093.0,0.01,0.0,0.0,73658.0,7105.801,107105.801,0.071,53.199,1.071,100000,1.06,100000
2016-03-09,6.614,33447.801,-1973.0,-0.018,0.0,0.0,71685.0,5132.801,105132.801,0.051,53.199,1.051,100000,1.071,100000
2016-03-10,2.781,33447.801,-1421.8,-0.014,0.0,0.0,70263.2,3711.001,103711.001,0.037,53.199,1.037,100000,1.051,100000
2016-03-11,2.418,33447.801,62.09,0.001,0.0,0.0,70325.29,3773.091,103773.091,0.038,53.199,1.038,100000,1.037,100000
2016-03-14,2.6,33447.801,1262.71,0.012,0.0,0.0,71588.0,5035.801,105035.801,0.05,53.199,1.05,100000,1.038,100000
2016-03-15,1.86,33447.801,-622.71,-0.006,0.0,0.0,70965.29,4413.091,104413.091,0.044,53.199,1.044,100000,1.05,100000
2016-03-16,1.736,33447.801,97.71,0.001,0.0,0.0,71063.0,4510.801,104510.801,0.045,53.199,1.045,100000,1.044,100000
2016-03-17,2.121,33447.801,933.0,0.009,0.0,0.0,71996.0,5443.801,105443.801,0.054,53.199,1.054,100000,1.045,100000
2016-03-18,2.587,33447.801,1058.0,0.01,0.0,0.0,73054.0,6501.801,106501.801,0.065,53.199,1.065,100000,1.054,100000
2016-03-21,2.564,33447.801,1084.0,0.01,0.0,0.0,74138.0,7585.801,107585.801,0.076,53.199,1.076,100000,1.065,100000
2016-03-22,1.989,33447.801,-764.0,-0.007,0.0,0.0,73374.0,6821.801,106821.801,0.068,53.199,1.068,100000,1.076,100000
2016-03-23,1.884,33447.801,80.0,0.001,0.0,0.0,73454.0,6901.801,106901.801,0.069,53.199,1.069,100000,1.068,100000
2016-03-24,1.144,33447.801,-1759.0,-0.016,0.0,0.0,71695.0,5142.801,105142.801,0.051,53.199,1.051,100000,1.069,100000
2016-03-25,1.233,33447.801,515.0,0.005,0.0,0.0,72210.0,5657.801,105657.801,0.057,53.199,1.057,100000,1.051,100000
2016-03-28,0.985,33447.801,-258.0,-0.002,0.0,0.0,71952.0,5399.801,105399.801,0.054,53.199,1.054,100000,1.057,100000
2016-03-29,0.62,33447.801,-1492.0,-0.014,0.0,0.0,70460.0,3907.801,103907.801,0.039,53.199,1.039,100000,1.054,100000
2016-03-30,0.953,33447.801,1750.0,0.017,0.0,0.0,72210.0,5657.801,105657.801,0.057,53.199,1.057,100000,1.039,100000
2016-03-31,1.692,33447.801,3115.0,0.029,0.0,0.0,75325.0,8772.801,108772.801,0.088,53.199,1.088,100000,1.057,100000
2016-04-01,1.365,72090.507,-934.793,-0.009,0.0,0.0,35747.5,7838.007,107838.007,0.078,215.993,1.078,100000,1.088,100000
2016-04-05,1.176,72090.507,131.14,0.001,0.0,0.0,35878.64,7969.147,107969.147,0.08,215.993,1.08,100000,1.078,100000
2016-04-06,1.131,72090.507,0.0,0.0,0.0,0.0,35878.64,7969.147,107969.147,0.08,215.993,1.08,100000,1.08,100000
2016-04-07,0.969,72090.507,-658.07,-0.006,0.0,0.0,35220.57,7311.077,107311.077,0.073,215.993,1.073,100000,1.08,100000
2016-04-08,0.838,72090.507,-592.5,-0.006,0.0,0.0,34628.07,6718.577,106718.577,0.067,215.993,1.067,100000,1.073,100000
2016-04-11,0.937,72090.507,1185.0,0.011,0.0,0.0,35813.07,7903.577,107903.577,0.079,215.993,1.079,100000,1.067,100000
2016-04-12,0.811,72090.507,-658.07,-0.006,0.0,0.0,35155.0,7245.507,107245.507,0.072,215.993,1.072,100000,1.079,100000
2016-04-13,0.833,72090.507,329.43,0.003,0.0,0.0,35484.43,7574.937,107574.937,0.076,215.993,1.076,100000,1.072,100000
2016-04-14,0.817,72090.507,65.57,0.001,0.0,0.0,35550.0,7640.507,107640.507,0.076,215.993,1.076,100000,1.076,100000
2016-04-15,0.829,72090.507,263.07,0.002,0.0,0.0,35813.07,7903.577,107903.577,0.079,215.993,1.079,100000,1.076,100000
2016-04-18,0.803,72090.507,329.43,0.003,0.0,0.0,36142.5,8233.007,108233.007,0.082,215.993,1.082,100000,1.079,100000
2016-04-19,0.75,72090.507,-263.86,-0.002,0.0,0.0,35878.64,7969.147,107969.147,0.08,215.993,1.08,100000,1.082,100000
2016-04-20,0.558,72090.507,-1579.21,-0.015,0.0,0.0,34299.43,6389.937,106389.937,0.064,215.993,1.064,100000,1.08,100000
2016-04-21,0.498,72090.507,-461.36,-0.004,0.0,0.0,33838.07,5928.577,105928.577,0.059,215.993,1.059,100000,1.064,100000
2016-04-22,0.493,72090.507,65.57,0.001,0.0,0.0,33903.64,5994.147,105994.147,0.06,215.993,1.06,100000,1.059,100000
2016-04-25,0.467,72090.507,66.36,0.001,0.0,0.0,33970.0,6060.507,106060.507,0.061,215.993,1.061,100000,1.06,100000
2016-04-26,0.463,72090.507,65.57,0.001,0.0,0.0,34035.57,6126.077,106126.077,0.061,215.993,1.061,100000,1.061,100000
2016-04-27,0.431,72090.507,-263.07,-0.002,0.0,0.0,33772.5,5863.007,105863.007,0.059,215.993,1.059,100000,1.061,100000
2016-04-28,0.406,72090.507,-197.5,-0.002,0.0,0.0,33575.0,5665.507,105665.507,0.057,215.993,1.057,100000,1.059,100000
2016-04-29,0.388,72090.507,-131.93,-0.001,0.0,0.0,33443.07,5533.577,105533.577,0.055,215.993,1.055,100000,1.057,100000
2016-05-03,0.404,72090.507,592.5,0.006,0.0,0.0,34035.57,6126.077,106126.077,0.061,215.993,1.061,100000,1.055,100000
