date,average_cost,avg_price,bought_quantity,bought_value,market_value,order_book_id,pnl,quantity,sellable,sold_quantity,sold_value,symbol,total_orders,total_trades,transaction_cost,value_percent
2016-03-01,4.15,4.15,8000,33200.0,33200.0,600256.XSHG,0.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.332
2016-03-01,4.69,4.69,7100,33299.0,33299.0,600018.XSHG,0.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.333
2016-03-01,0.0,0.0,0,0.0,0.0,600170.XSHG,0.0,0,0,0,0.0,上海建工,0,0,0.0,0.0
2016-03-02,4.15,4.15,8000,33200.0,34960.0,600256.XSHG,1760.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.339
2016-03-02,4.69,4.69,7100,33299.0,34790.0,600018.XSHG,1491.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.337
2016-03-03,4.15,4.15,8000,33200.0,35040.0,600256.XSHG,1840.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.339
2016-03-03,4.69,4.69,7100,33299.0,34932.0,600018.XSHG,1633.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.338
2016-03-04,4.15,4.15,8000,33200.0,35440.0,600256.XSHG,2240.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.334
2016-03-04,4.69,4.69,7100,33299.0,37062.0,600018.XSHG,3763.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.35
2016-03-07,4.15,4.15,8000,33200.0,36000.0,600256.XSHG,2800.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.34
2016-03-07,4.69,4.69,7100,33299.0,36565.0,600018.XSHG,3266.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.345
2016-03-08,4.15,4.15,8000,33200.0,36880.0,600256.XSHG,3680.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.344
2016-03-08,4.69,4.69,7100,33299.0,36778.0,600018.XSHG,3479.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.343
2016-03-09,4.15,4.15,8000,33200.0,35120.0,600256.XSHG,1920.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.334
2016-03-09,4.69,4.69,7100,33299.0,36565.0,600018.XSHG,3266.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.348
2016-03-10,4.15,4.15,8000,33200.0,34479.2,600256.XSHG,1279.2,8000,8000,0,0.0,广汇能源,1,1,26.56,0.332
2016-03-10,4.69,4.69,7100,33299.0,35784.0,600018.XSHG,2485.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.345
2016-03-11,4.15,4.15,8000,33200.0,34400.0,600256.XSHG,1200.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.331
2016-03-11,4.69,4.69,7100,33299.0,35925.29,600018.XSHG,2626.29,7100,7100,0,0.0,上港集团,1,1,26.639,0.346
2016-03-14,4.15,4.15,8000,33200.0,35520.0,600256.XSHG,2320.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.338
2016-03-14,4.69,4.69,7100,33299.0,36068.0,600018.XSHG,2769.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.343
2016-03-15,4.15,4.15,8000,33200.0,35040.0,600256.XSHG,1840.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.336
2016-03-15,4.69,4.69,7100,33299.0,35925.29,600018.XSHG,2626.29,7100,7100,0,0.0,上港集团,1,1,26.639,0.344
2016-03-16,4.15,4.15,8000,33200.0,34640.0,600256.XSHG,1440.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.331
2016-03-16,4.69,4.69,7100,33299.0,36423.0,600018.XSHG,3124.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.349
2016-03-17,4.15,4.15,8000,33200.0,35360.0,600256.XSHG,2160.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.335
2016-03-17,4.69,4.69,7100,33299.0,36636.0,600018.XSHG,3337.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.347
2016-03-18,4.15,4.15,8000,33200.0,36560.0,600256.XSHG,3360.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.343
2016-03-18,4.69,4.69,7100,33299.0,36494.0,600018.XSHG,3195.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.343
2016-03-21,4.15,4.15,8000,33200.0,37360.0,600256.XSHG,4160.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.347
2016-03-21,4.69,4.69,7100,33299.0,36778.0,600018.XSHG,3479.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.342
2016-03-22,4.15,4.15,8000,33200.0,36880.0,600256.XSHG,3680.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.345
2016-03-22,4.69,4.69,7100,33299.0,36494.0,600018.XSHG,3195.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.342
2016-03-23,4.15,4.15,8000,33200.0,36960.0,600256.XSHG,3760.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.346
2016-03-23,4.69,4.69,7100,33299.0,36494.0,600018.XSHG,3195.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.341
2016-03-24,4.15,4.15,8000,33200.0,35840.0,600256.XSHG,2640.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.341
2016-03-24,4.69,4.69,7100,33299.0,35855.0,600018.XSHG,2556.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.341
2016-03-25,4.15,4.15,8000,33200.0,36000.0,600256.XSHG,2800.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.341
2016-03-25,4.69,4.69,7100,33299.0,36210.0,600018.XSHG,2911.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.343
2016-03-28,4.15,4.15,8000,33200.0,35600.0,600256.XSHG,2400.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.338
2016-03-28,4.69,4.69,7100,33299.0,36352.0,600018.XSHG,3053.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.345
2016-03-29,4.15,4.15,8000,33200.0,34960.0,600256.XSHG,1760.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.336
2016-03-29,4.69,4.69,7100,33299.0,35500.0,600018.XSHG,2201.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.342
2016-03-30,4.15,4.15,8000,33200.0,36000.0,600256.XSHG,2800.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.341
2016-03-30,4.69,4.69,7100,33299.0,36210.0,600018.XSHG,2911.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.343
2016-03-31,4.15,4.15,8000,33200.0,35920.0,600256.XSHG,2720.0,8000,8000,0,0.0,广汇能源,1,1,26.56,0.33
2016-03-31,4.69,4.69,7100,33299.0,39405.0,600018.XSHG,6106.0,7100,7100,0,0.0,上港集团,1,1,26.639,0.362
2016-04-01,0.0,0.0,0,0.0,0.0,600485.XSHG,0.0,0,0,0,0.0,信威集团,0,0,0.0,0.0
2016-04-01,4.15,4.15,8000,33200.0,0.0,600256.XSHG,2800.0,0,0,8000,36000.0,广汇能源,2,2,91.36,0.0
2016-04-01,0.0,0.0,0,0.0,0.0,600153.XSHG,0.0,0,0,0,0.0,建发股份,0,0,0.0,0.0
2016-04-01,4.69,4.69,7100,33299.0,0.0,600018.XSHG,5254.0,0,0,7100,38553.0,上港集团,2,2,96.035,0.0
2016-04-01,4.525,4.525,7900,35747.5,35747.5,600170.XSHG,0.0,7900,7900,0,0.0,上海建工,1,1,28.598,0.331
2016-04-05,4.525,4.525,7900,35747.5,35878.64,600170.XSHG,131.14,7900,7900,0,0.0,上海建工,1,1,28.598,0.332
2016-04-06,4.525,4.525,7900,35747.5,35878.64,600170.XSHG,131.14,7900,7900,0,0.0,上海建工,1,1,28.598,0.332
2016-04-07,4.525,4.525,7900,35747.5,35220.57,600170.XSHG,-526.93,7900,7900,0,0.0,上海建工,1,1,28.598,0.328
2016-04-08,4.525,4.525,7900,35747.5,34628.07,600170.XSHG,-1119.43,7900,7900,0,0.0,上海建工,1,1,28.598,0.324
2016-04-11,4.525,4.525,7900,35747.5,35813.07,600170.XSHG,65.57,7900,7900,0,0.0,上海建工,1,1,28.598,0.332
2016-04-12,4.525,4.525,7900,35747.5,35155.0,600170.XSHG,-592.5,7900,7900,0,0.0,上海建工,1,1,28.598,0.328
2016-04-13,4.525,4.525,7900,35747.5,35484.43,600170.XSHG,-263.07,7900,7900,0,0.0,上海建工,1,1,28.598,0.33
2016-04-14,4.525,4.525,7900,35747.5,35550.0,600170.XSHG,-197.5,7900,7900,0,0.0,上海建工,1,1,28.598,0.33
2016-04-15,4.525,4.525,7900,35747.5,35813.07,600170.XSHG,65.57,7900,7900,0,0.0,上海建工,1,1,28.598,0.332
2016-04-18,4.525,4.525,7900,35747.5,36142.5,600170.XSHG,395.0,7900,7900,0,0.0,上海建工,1,1,28.598,0.334
2016-04-19,4.525,4.525,7900,35747.5,35878.64,600170.XSHG,131.14,7900,7900,0,0.0,上海建工,1,1,28.598,0.332
2016-04-20,4.525,4.525,7900,35747.5,34299.43,600170.XSHG,-1448.07,7900,7900,0,0.0,上海建工,1,1,28.598,0.322
2016-04-21,4.525,4.525,7900,35747.5,33838.07,600170.XSHG,-1909.43,7900,7900,0,0.0,上海建工,1,1,28.598,0.319
2016-04-22,4.525,4.525,7900,35747.5,33903.64,600170.XSHG,-1843.86,7900,7900,0,0.0,上海建工,1,1,28.598,0.32
2016-04-25,4.525,4.525,7900,35747.5,33970.0,600170.XSHG,-1777.5,7900,7900,0,0.0,上海建工,1,1,28.598,0.32
2016-04-26,4.525,4.525,7900,35747.5,34035.57,600170.XSHG,-1711.93,7900,7900,0,0.0,上海建工,1,1,28.598,0.321
2016-04-27,4.525,4.525,7900,35747.5,33772.5,600170.XSHG,-1975.0,7900,7900,0,0.0,上海建工,1,1,28.598,0.319
2016-04-28,4.525,4.525,7900,35747.5,33575.0,600170.XSHG,-2172.5,7900,7900,0,0.0,上海建工,1,1,28.598,0.318
2016-04-29,4.525,4.525,7900,35747.5,33443.07,600170.XSHG,-2304.43,7900,7900,0,0.0,上海建工,1,1,28.598,0.317
2016-05-03,4.525,4.525,7900,35747.5,34035.57,600170.XSHG,-1711.93,7900,7900,0,0.0,上海建工,1,1,28.598,0.321
2016-05-04,4.525,4.525,7900,35747.5,34101.93,600170.XSHG,-1645.57,7900,7900,0,0.0,上海建工,1,1,28.598,0.321
2016-05-05,4.525,4.525,7900,35747.5,34035.57,600170.XSHG,-1711.93,7900,7900,0,0.0,上海建工,1,1,28.598,0.321
2016-05-06,0.0,0.0,0,0.0,0.0,600485.XSHG,0.0,0,0,0,0.0,信威集团,0,0,0.0,0.0
2016-05-06,0.0,0.0,0,0.0,0.0,600153.XSHG,0.0,0,0,0,0.0,建发股份,0,0,0.0,0.0
2016-05-06,0.0,0.0,0,0.0,0.0,000415.XSHE,0.0,0,0,0,0.0,渤海金控,0,0,0.0,0.0
2016-05-06,4.525,4.525,7900,35747.5,0.0,600170.XSHG,-2370.0,0,0,7900,33377.5,上海建工,2,2,88.678,0.0
2016-06-08,0.0,0.0,0,0.0,0.0,600153.XSHG,0.0,0,0,0,0.0,建发股份,0,0,0.0,0.0
2016-06-08,0.0,0.0,0,0.0,0.0,000415.XSHE,0.0,0,0,0,0.0,渤海金控,0,0,0.0,0.0
2016-06-08,11.14,11.14,3100,34534.0,34534.0,600383.XSHG,0.0,3100,3100,0,0.0,金地集团,1,1,27.627,0.328
2016-06-13,11.14,11.14,3100,34534.0,33852.0,600383.XSHG,-682.0,3100,3100,0,0.0,金地集团,1,1,27.627,0.323
2016-06-14,11.14,11.14,3100,34534.0,33696.69,600383.XSHG,-837.31,3100,3100,0,0.0,金地集团,1,1,27.627,0.322
2016-06-15,11.14,11.14,3100,34534.0,33728.0,600383.XSHG,-806.0,3100,3100,0,0.0,金地集团,1,1,27.627,0.323
2016-06-16,11.14,11.14,3100,34534.0,33945.0,600383.XSHG,-589.0,3100,3100,0,0.0,金地集团,1,1,27.627,0.324
